SECCION;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;CONTAMINANTE;UNIDAD;CO2EQ1990;CO2EQ1991;CO2EQ1992;CO2EQ1993;CO2EQ1994;CO2EQ1995;CO2EQ1996;CO2EQ1997;CO2EQ1998;CO2EQ1999;CO2EQ2000;CO2EQ2001;CO2EQ2002;CO2EQ2003;CO2EQ2004;CO2EQ2005;CO2EQ2006;CO2EQ2007;CO2EQ2008;CO2EQ2009;CO2EQ2010;CO2EQ2011;CO2EQ2012;CO2EQ2013;CO2EQ2014;CO2EQ2015;CO2EQ2016;CO2EQ2017;CO2EQ2018;CO2EQ2019;CO2EQ2020;EM1990;EM1991;EM1992;EM1993;EM1994;EM1995;EM1996;EM1997;EM1998;EM1999;EM2000;EM2001;EM2002;EM2003;EM2004;EM2005;EM2006;EM2007;EM2008;EM2009;EM2010;EM2011;EM2012;EM2013;EM2014;EM2015;EM2016;EM2017;EM2018;EM2019;EM2020;;;;;;;;;;
INV;1;A;2;d;N2O;Gg;20,61;22,21;21,60;20,69;23,93;27,28;25,74;27,93;29,91;31,08;32,13;29,26;30,58;34,89;35,89;35,32;42,26;41,09;32,38;34,93;32,47;32,85;36,24;32,89;40,22;35,40;38,50;36,53;34,90;33,70;27,98;0,07;0,07;0,07;0,07;0,08;0,09;0,09;0,09;0,10;0,10;0,11;0,10;0,10;0,12;0,12;0,12;0,14;0,14;0,11;0,12;0,11;0,11;0,12;0,11;0,13;0,12;0,13;0,12;0,12;0,11;0,09;;;;;;;;;;
INV;1;A;2;e;CH4;Gg;6,13;9,65;12,02;14,24;17,59;28,66;34,49;43,60;54,30;84,80;101,02;117,51;139,88;157,22;157,74;145,42;103,57;89,54;91,20;92,24;92,62;84,08;111,09;134,26;110,32;143,29;146,19;203,58;193,11;186,21;182,13;0,25;0,39;0,48;0,57;0,70;1,15;1,38;1,74;2,17;3,39;4,04;4,70;5,60;6,29;6,31;5,82;4,14;3,58;3,65;3,69;3,70;3,36;4,44;5,37;4,41;5,73;5,85;8,14;7,72;7,45;7,29;;;;;;;;;;
INV;1;A;2;e;CO2;Gg;3.005,42;3.253,18;3.216,10;3.207,80;3.967,53;5.153,11;3.734,37;3.855,58;3.835,18;4.872,11;4.774,59;4.953,69;5.599,77;6.110,52;5.751,53;5.171,85;2.969,38;2.905,28;2.766,85;2.425,32;2.566,54;1.994,92;2.689,03;3.175,89;2.788,03;3.791,68;4.240,03;5.398,56;4.913,44;4.736,65;4.401,17;3.005,42;3.253,18;3.216,10;3.207,80;3.967,53;5.153,11;3.734,37;3.855,58;3.835,18;4.872,11;4.774,59;4.953,69;5.599,77;6.110,52;5.751,53;5.171,85;2.969,38;2.905,28;2.766,85;2.425,32;2.566,54;1.994,92;2.689,03;3.175,89;2.788,03;3.791,68;4.240,03;5.398,56;4.913,44;4.736,65;4.401,17;;;;;;;;;;
INV;1;A;2;e;N2O;Gg;6,50;7,44;7,31;7,19;8,21;10,94;9,44;9,96;10,32;25,58;24,02;24,81;28,48;30,12;28,62;26,48;23,11;21,41;24,32;19,47;16,80;18,12;21,19;18,02;13,08;18,88;29,12;35,18;34,99;37,70;36,72;0,02;0,02;0,02;0,02;0,03;0,04;0,03;0,03;0,03;0,09;0,08;0,08;0,10;0,10;0,10;0,09;0,08;0,07;0,08;0,07;0,06;0,06;0,07;0,06;0,04;0,06;0,10;0,12;0,12;0,13;0,12;;;;;;;;;;
INV;1;A;2;f;CH4;Gg;17,37;23,23;24,52;20,92;18,89;23,36;27,31;23,51;20,07;22,00;22,87;37,72;18,51;68,40;20,07;58,89;22,05;22,76;20,12;19,51;21,55;24,69;21,70;18,82;19,09;23,76;21,97;35,17;43,84;31,10;25,32;0,69;0,93;0,98;0,84;0,76;0,93;1,09;0,94;0,80;0,88;0,91;1,51;0,74;2,74;0,80;2,36;0,88;0,91;0,80;0,78;0,86;0,99;0,87;0,75;0,76;0,95;0,88;1,41;1,75;1,24;1,01;;;;;;;;;;
INV;1;A;2;f;CO2;Gg;16.529,02;17.673,83;17.829,21;16.193,86;16.851,05;18.893,90;20.373,81;18.433,17;19.098,95;20.013,54;20.004,30;20.864,41;20.715,89;22.141,19;20.542,76;22.024,70;21.480,80;21.374,31;18.265,95;14.828,72;14.543,83;14.442,95;11.511,29;9.330,48;9.859,07;10.178,29;10.684,68;11.104,71;11.667,38;11.149,43;9.755,77;16.529,02;17.673,83;17.829,21;16.193,86;16.851,05;18.893,90;20.373,81;18.433,17;19.098,95;20.013,54;20.004,30;20.864,41;20.715,89;22.141,19;20.542,76;22.024,70;21.480,80;21.374,31;18.265,95;14.828,72;14.543,83;14.442,95;11.511,29;9.330,48;9.859,07;10.178,29;10.684,68;11.104,71;11.667,38;11.149,43;9.755,77;;;;;;;;;;
INV;1;A;2;f;N2O;Gg;50,49;55,69;53,65;46,20;44,00;49,12;53,70;47,36;42,27;45,34;41,55;40,89;39,44;46,04;41,31;46,10;44,44;47,87;41,48;37,34;40,01;45,06;38,64;32,02;33,14;36,71;38,33;39,97;42,84;43,72;41,15;0,17;0,19;0,18;0,16;0,15;0,16;0,18;0,16;0,14;0,15;0,14;0,14;0,13;0,15;0,14;0,15;0,15;0,16;0,14;0,13;0,13;0,15;0,13;0,11;0,11;0,12;0,13;0,13;0,14;0,15;0,14;;;;;;;;;;
INV;1;A;2;g;CH4;Gg;59,25;57,88;54,92;66,89;77,28;103,78;125,90;160,49;216,21;255,48;294,05;323,32;333,89;384,18;470,18;557,43;322,28;420,28;400,85;360,01;379,10;294,51;326,44;326,97;229,74;209,36;208,12;216,26;236,43;232,64;204,24;2,37;2,32;2,20;2,68;3,09;4,15;5,04;6,42;8,65;10,22;11,76;12,93;13,36;15,37;18,81;22,30;12,89;16,81;16,03;14,40;15,16;11,78;13,06;13,08;9,19;8,37;8,32;8,65;9,46;9,31;8,17;;;;;;;;;;
INV;1;A;2;g;CO2;Gg;7.899,48;8.365,89;7.868,45;8.686,35;8.698,51;9.995,88;8.178,86;9.452,32;10.192,27;10.687,45;11.609,63;12.487,37;12.773,82;14.549,30;15.466,88;16.794,70;11.562,94;14.251,74;13.260,17;11.303,89;11.862,47;9.031,16;9.316,10;8.706,22;7.602,00;7.469,90;7.855,17;7.922,16;8.337,31;8.352,86;7.278,72;7.899,48;8.365,89;7.868,45;8.686,35;8.698,51;9.995,88;8.178,86;9.452,32;10.192,27;10.687,45;11.609,63;12.487,37;12.773,82;14.549,30;15.466,88;16.794,70;11.562,94;14.251,74;13.260,17;11.303,89;11.862,47;9.031,16;9.316,10;8.706,22;7.602,00;7.469,90;7.855,17;7.922,16;8.337,31;8.352,86;7.278,72;;;;;;;;;;
INV;1;A;2;g;N2O;Gg;119,32;106,00;85,74;85,48;76,29;81,20;78,48;73,71;88,20;78,27;82,20;88,14;91,92;103,40;107,72;113,93;95,61;107,81;103,72;87,11;80,49;73,21;72,34;52,95;43,72;52,65;59,76;65,33;68,20;74,21;66,37;0,40;0,36;0,29;0,29;0,26;0,27;0,26;0,25;0,30;0,26;0,28;0,30;0,31;0,35;0,36;0,38;0,32;0,36;0,35;0,29;0,27;0,25;0,24;0,18;0,15;0,18;0,20;0,22;0,23;0,25;0,22;;;;;;;;;;
